symbol: CFIBTC, SP: 0.000064, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: PLBTBTC, SP: 0.003016, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: BNTBTC, SP: 0.001081, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XDNCOBTC, SP: 0.0000020000, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XTZBTC, SP: 0.000400, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: DICEBTC, SP: 0.001600, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: XRPBTC, SP: 0.00010013, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: STRATBTC, SP: 0.002301, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: EOSBTC, SP: 0.000450, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
symbol: MNEBTC, SP: 0.002411, time: Sun Jul 02 2017 01:52:33 GMT-0400 (EDT), trackingStatus:
