symbol: BTC_AMP, SP: 0.00017771, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_DCR, SP: 0.01197915, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_LSK, SP: 0.00093848, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_LBC, SP: 0.00021009, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_STEEM, SP: 0.00064550, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_SBD, SP: 0.00058995, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_ETC, SP: 0.00690244, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_REP, SP: 0.01003681, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_ARDR, SP: 0.00007461, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_ZEC, SP: 0.11334320, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_STRAT, SP: 0.00231866, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_NXC, SP: 0.00009130, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_PASC, SP: 0.00029534, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_GNT, SP: 0.00017976, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
symbol: BTC_GNO, SP: 0.11773137, time: Sun Jul 02 2017 01:56:42 GMT-0400 (EDT), trackingStatus:
