MarketID: 67, symbol: SLR-BTC, SP: 0.00450000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 68, symbol: CC-BTC, SP: 0.00001000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 69, symbol: SILK2-BTC, SP: 0.00000030, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 70, symbol: KLC-BTC, SP: 0.00000100, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 71, symbol: CYT-BTC, SP: 0.00148890, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 72, symbol: ZEIT-BTC, SP: 0.00000002, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 74, symbol: MNM-BTC, SP: 0.00005000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 75, symbol: GOKU-BTC, SP: 0.00000849, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 76, symbol: CJ-BTC, SP: 0.00000011, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 77, symbol: EMC-BTC, SP: 0.00056560, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 78, symbol: FTC-BTC, SP: 0.00005748, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 79, symbol: BELA-BTC, SP: 0.00012898, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 80, symbol: SYNX-BTC, SP: 0.00006495, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 81, symbol: CHESS-BTC, SP: 0.00000273, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 82, symbol: COXST-BTC, SP: 0.00000110, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 83, symbol: EDRC-BTC, SP: 0.00003295, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 86, symbol: XQN-BTC, SP: 0.00000240, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 84, symbol: EMIRG-BTC, SP: 0.00000300, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 87, symbol: ETH-BTC, SP: 0.10398991, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 88, symbol: ETC-BTC, SP: 0.00689753, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 279, symbol: WYV-BTC, SP: 0.00003789, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 90, symbol: undefined, SP: 0.23999998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 91, symbol: SYNQ-BTC, SP: 0.00000099, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 92, symbol: BON-BTC, SP: 0.00000010, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 93, symbol: undefined, SP: 0.00020000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 94, symbol: undefined, SP: 0.00000432, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 95, symbol: ADCN-BTC, SP: 0.00000777, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 96, symbol: CMT-BTC, SP: 0.00005984, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 97, symbol: CRW-BTC, SP: 0.00069995, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 98, symbol: SHM-BTC, SP: 0.00000003, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 99, symbol: SRC-BTC, SP: 0.00180000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 100, symbol: GOLD-BTC, SP: 0.00002399, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 101, symbol: ACES-BTC, SP: 0.00000009, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 102, symbol: RHO-BTC, SP: 0.00003113, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 103, symbol: AMC-BTC, SP: 0.00000057, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 104, symbol: GAIN-BTC, SP: 0.00000042, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 105, symbol: BPOK-BTC, SP: 0.00000052, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 106, symbol: ELCO-BTC, SP: 0.01500000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 107, symbol: SCT-BTC, SP: 0.00000126, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 108, symbol: EGC-BTC, SP: 0.00017000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 111, symbol: MER-BTC, SP: 0.00001190, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 110, symbol: TPG-BTC, SP: 0.00000005, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 112, symbol: undefined, SP: 0.02999998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 114, symbol: undefined, SP: 0.00629988, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 115, symbol: undefined, SP: 0.04390000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 116, symbol: undefined, SP: 0.03599998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 117, symbol: undefined, SP: 0.99857236, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 118, symbol: HVCO-BTC, SP: 0.00001800, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 119, symbol: WOW-BTC, SP: 0.00000003, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 120, symbol: undefined, SP: 0.04799799, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 121, symbol: BET-BTC, SP: 0.00000250, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 122, symbol: BITB-BTC, SP: 0.00000127, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 123, symbol: BLK-BTC, SP: 0.00023500, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 124, symbol: BLU-BTC, SP: 0.00000000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 125, symbol: BRIT-BTC, SP: 0.00001300, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 126, symbol: CANN-BTC, SP: 0.00001500, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 127, symbol: PCN-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 128, symbol: undefined, SP: 0.00089998, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 129, symbol: XSA-BTC, SP: 0.00000009, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 130, symbol: BXT-BTC, SP: 0.00040000, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 131, symbol: HYP-BTC, SP: 0.00000090, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 132, symbol: FCH-BTC, SP: 0.00000900, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 133, symbol: ATX-BTC, SP: 0.00000106, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 134, symbol: XYOC-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
MarketID: 135, symbol: XP-BTC, SP: 0.00000001, time: Thu Jul 06 2017 12:25:47 GMT-0400 (EDT), trackingStatus: 
